WRD_ID,Common_Name,CONSTITUENT STANDARDIZED,SAMP_DATE,SAMP_TIME,STORET,METHOD,FLAG,VALUE,TXT_VALUE,DL,MDL,UNITS,LAB_ID,SAMP_ID,REPORT_ID,PROCESSED_DATE
570001,GRIP-AWTF Influent,"1,4-Dioxane",3/9/2020,9:30:00,A-032,EPA 522,,1.1,1.1,1,0.085,ug/L,9590,2.02E+11,859184,3/19/2020
570001,GRIP-AWTF Influent,"1,4-Dioxane",3/18/2020,9:38:00,A-032,EPA 522,,0.99,J,1,0.085,ug/L,9590,2.02E+11,861156,4/2/2020
570001,GRIP-AWTF Influent,"1,4-Dioxane",3/25/2020,11:03:00,A-032,EPA 522,,0.92,J,1,0.085,ug/L,9590,2.02E+11,862275,4/3/2020
570001,GRIP-AWTF Influent,"1,4-Dioxane",4/2/2020,9:53:00,A-032,EPA 522,,0.43,J,1,0.085,ug/L,9590,2.02E+11,863643,4/17/2020
570001,GRIP-AWTF Influent,"1,4-Dioxane",4/8/2020,9:56:00,A-032,EPA 522,,0.87,J,1,0.085,ug/L,9590,2.02E+11,864634,4/21/2020
570001,GRIP-AWTF Influent,"1,4-Dioxane",4/15/2020,10:38:00,A-032,EPA 522,,1.1,1.1,1,0.085,ug/L,9590,2.02E+11,865891,4/30/2020
570001,GRIP-AWTF Influent,"1,4-Dioxane",4/22/2020,9:40:00,A-032,EPA 522,,0.8,J,1,0.085,ug/L,9590,2.02E+11,867325,5/6/2020
570001,GRIP-AWTF Influent,"1,4-Dioxane",4/29/2020,10:10:00,A-032,EPA 522,,0.78,J,1,0.085,ug/L,9590,2.02E+11,868467,5/6/2020
570001,GRIP-AWTF Influent,"1,4-Dioxane",5/6/2020,9:36:00,A-032,EPA 522,,0.73,J,1,0.085,ug/L,9590,2.02E+11,869531,5/14/2020
570001,GRIP-AWTF Influent,"1,4-Dioxane",5/13/2020,9:24:00,A-032,EPA 522,,0.82,J,1,0.085,ug/L,9590,2.02E+11,871075,5/27/2020
570001,GRIP-AWTF Influent,Alkalinity,7/6/2020,9:42:00,410,SM 2320B,,160,160,2,0.83,mg/L,9590,2.02E+11,879698,7/24/2020
570001,GRIP-AWTF Influent,Alkalinity,7/9/2020,7:55:00,410,SM 2320B,,190,190,2,0.83,mg/L,9590,2.02E+11,880701,7/18/2020
570001,GRIP-AWTF Influent,Alkalinity,2/1/2022,8:30:00,410,SM 2320B,,180,180,2,"0.83",mg/L,9590,2.02E+11,984311,2/16/2022
570001,GRIP-AWTF Influent,Alkalinity,3/7/2022,8:50:00,410,SM 2320B,,160,160,2,"0.83",mg/L,9590,2.02E+11,991284,4/11/2022
570001,GRIP-AWTF Influent,Alkalinity,4/8/2022,7:15:00,410,SM 2320B,,140,140,2,"0.83",mg/L,9590,2.02E+11,997962,4/26/2022
570001,GRIP-AWTF Influent,Aluminum,2/1/2022,8:30:00,1105,EPA 200.7,,0.033,J,0.05,"0.023",mg/L,9590,2.02E+11,984311,2/16/2022
570001,GRIP-AWTF Influent,Aluminum,3/7/2022,8:50:00,1105,EPA 200.7,<,0.05,ND,0.05,"0.023",mg/L,9590,2.02E+11,991284,4/11/2022
570001,GRIP-AWTF Influent,Aluminum,4/8/2022,7:15:00,1105,EPA 200.7,<,0.1,ND,0.1,"0.046",mg/L,9590,2.02E+11,997962,4/26/2022
570001,GRIP-AWTF Influent,Ammonia Nitrogen,2/1/2022,8:30:00,612,EPA 350.1,,1.1,1.1,0.05,"0.0030",mg/L,9590,2.02E+11,984311,2/16/2022
570001,GRIP-AWTF Influent,Ammonia Nitrogen,3/7/2022,8:50:00,612,EPA 350.1,,0.89,0.89,0.05,"0.0030",mg/L,9590,2.02E+11,991284,4/11/2022
570001,GRIP-AWTF Influent,Ammonia Nitrogen,4/8/2022,7:15:00,612,EPA 350.1,,1.3,1.3,0.05,"0.017",mg/L,9590,2.02E+11,997962,4/26/2022
570001,GRIP-AWTF Influent,Anion Sum,2/1/2022,8:30:00,4208,SM 1030E,,11,11,0.001,"0",meq/L,9590,2.02E+11,984311,2/16/2022
570001,GRIP-AWTF Influent,Anion Sum,3/7/2022,8:50:00,4208,SM 1030E,,11,11,0.001,"0",meq/L,9590,2.02E+11,991284,4/11/2022
