,SAMP_DATE_SAMP_TIME,WRD_ID,Common_Name,CONSTITUENT STANDARDIZED,STORET,METHOD,FLAG,VALUE,TXT_VALUE,DL,MDL,UNITS,LAB_ID,SAMP_ID,REPORT_ID,PROCESSED_DATE,legal limit
0,2020-03-09 09:30:00,570001,GRIP-AWTF Influent,"1,4-Dioxane",A-032,EPA 522,,1.1,1.1,1.0,0.085,ug/L,9590,202003090138,859184,2020-03-19,1.3720556119734362
1,2020-03-18 09:38:00,570001,GRIP-AWTF Influent,"1,4-Dioxane",A-032,EPA 522,,0.99,J,1.0,0.085,ug/L,9590,202003180830,861156,2020-04-02,1.3720556119734362
2,2020-03-25 11:03:00,570001,GRIP-AWTF Influent,"1,4-Dioxane",A-032,EPA 522,,0.92,J,1.0,0.085,ug/L,9590,202003250245,862275,2020-04-03,1.3720556119734362
3,2020-04-02 09:53:00,570001,GRIP-AWTF Influent,"1,4-Dioxane",A-032,EPA 522,,0.43,J,1.0,0.085,ug/L,9590,202004020270,863643,2020-04-17,1.3720556119734362
4,2020-04-08 09:56:00,570001,GRIP-AWTF Influent,"1,4-Dioxane",A-032,EPA 522,,0.87,J,1.0,0.085,ug/L,9590,202004080559,864634,2020-04-21,1.3720556119734362
5,2020-04-15 10:38:00,570001,GRIP-AWTF Influent,"1,4-Dioxane",A-032,EPA 522,,1.1,1.1,1.0,0.085,ug/L,9590,202004150431,865891,2020-04-30,1.3720556119734362
6,2020-04-22 09:40:00,570001,GRIP-AWTF Influent,"1,4-Dioxane",A-032,EPA 522,,0.8,J,1.0,0.085,ug/L,9590,202002260441,867325,2020-05-06,1.3720556119734362
7,2020-04-29 10:10:00,570001,GRIP-AWTF Influent,"1,4-Dioxane",A-032,EPA 522,,0.78,J,1.0,0.085,ug/L,9590,202004290458,868467,2020-05-06,1.3720556119734362
8,2020-05-06 09:36:00,570001,GRIP-AWTF Influent,"1,4-Dioxane",A-032,EPA 522,,0.73,J,1.0,0.085,ug/L,9590,202005060381,869531,2020-05-14,1.3720556119734362
9,2020-05-13 09:24:00,570001,GRIP-AWTF Influent,"1,4-Dioxane",A-032,EPA 522,,0.82,J,1.0,0.085,ug/L,9590,202005130813,871075,2020-05-27,1.3720556119734362
10,2020-07-06 09:42:00,570001,GRIP-AWTF Influent,Alkalinity,00410,SM 2320B,,160.0,160,2.0,0.83,mg/L,9590,202007060416,879698,2020-07-24,2.3031147130030956
11,2020-07-09 07:55:00,570001,GRIP-AWTF Influent,Alkalinity,00410,SM 2320B,,190.0,190,2.0,0.83,mg/L,9590,202007090490,880701,2020-07-18,2.3031147130030956
12,2022-02-01 08:30:00,570001,GRIP-AWTF Influent,Alkalinity,00410,SM 2320B,,180.0,180,2.0,0.83,mg/L,9590,202202010601,984311,2022-02-16,2.3031147130030956
13,2022-03-07 08:50:00,570001,GRIP-AWTF Influent,Alkalinity,00410,SM 2320B,,160.0,160,2.0,0.83,mg/L,9590,202203070178,991284,2022-04-11,2.3031147130030956
14,2022-04-08 07:15:00,570001,GRIP-AWTF Influent,Alkalinity,00410,SM 2320B,,140.0,140,2.0,0.83,mg/L,9590,202204090044,997962,2022-04-26,2.3031147130030956
15,2022-02-01 08:30:00,570001,GRIP-AWTF Influent,Aluminum,01105,EPA 200.7,,0.033,J,0.05,0.023,mg/L,9590,202202010601,984311,2022-02-16,3.2608221771068377
16,2022-03-07 08:50:00,570001,GRIP-AWTF Influent,Aluminum,01105,EPA 200.7,<,0.05,ND,0.05,0.023,mg/L,9590,202203070178,991284,2022-04-11,3.2608221771068377
17,2022-04-08 07:15:00,570001,GRIP-AWTF Influent,Aluminum,01105,EPA 200.7,<,0.1,ND,0.1,0.046,mg/L,9590,202204090044,997962,2022-04-26,3.2608221771068377
18,2022-02-01 08:30:00,570001,GRIP-AWTF Influent,Ammonia Nitrogen,00612,EPA 350.1,,1.1,1.1,0.05,0.003,mg/L,9590,202202010601,984311,2022-02-16,2.6406203823619325
19,2022-03-07 08:50:00,570001,GRIP-AWTF Influent,Ammonia Nitrogen,00612,EPA 350.1,,0.89,0.89,0.05,0.003,mg/L,9590,202203070178,991284,2022-04-11,2.6406203823619325
20,2022-04-08 07:15:00,570001,GRIP-AWTF Influent,Ammonia Nitrogen,00612,EPA 350.1,,1.3,1.3,0.05,0.017,mg/L,9590,202204090044,997962,2022-04-26,2.6406203823619325
21,2022-02-01 08:30:00,570001,GRIP-AWTF Influent,Anion Sum,04208,SM 1030E,,11.0,11,0.001,0.0,meq/L,9590,202202010601,984311,2022-02-16,4.139785123636372
22,2022-03-07 08:50:00,570001,GRIP-AWTF Influent,Anion Sum,04208,SM 1030E,,11.0,11,0.001,0.0,meq/L,9590,202203070178,991284,2022-04-11,4.139785123636372
23,2022-04-08 07:15:00,570001,GRIP-AWTF Influent,Anion Sum,04208,SM 1030E,,9.5,9.5,0.001,0.0,meq/L,9590,202204090044,997962,2022-04-26,4.139785123636372
24,2022-02-01 08:30:00,570001,GRIP-AWTF Influent,"Bicarbonate as HCO3, Calculated",00440,SM2330B,,220.0,220,2.0,2.0,mg/L,9590,202202010601,984311,2022-02-16,1.8969592077221815
25,2022-03-07 08:50:00,570001,GRIP-AWTF Influent,"Bicarbonate as HCO3, Calculated",00440,SM2330B,,200.0,200,2.0,2.0,mg/L,9590,202203070178,991284,2022-04-11,1.8969592077221815
26,2022-04-08 07:15:00,570001,GRIP-AWTF Influent,"Bicarbonate as HCO3, Calculated",00440,SM2330B,,170.0,170,2.0,2.0,mg/L,9590,202204090044,997962,2022-04-26,1.8969592077221815
27,2021-08-04 09:05:00,570001,GRIP-AWTF Influent,BPA,81651,LC-MS-MS,<,10.0,ND,10.0,2.9,ng/L,9590,202108040720,950445,2021-08-31,3.813886170254546
28,2021-10-13 09:15:00,570001,GRIP-AWTF Influent,BPA,81651,LC-MS-MS,<,10.0,ND,10.0,2.9,ng/L,9590,202110140045,963808,2021-11-30,3.813886170254546
29,2022-02-16 09:00:00,570001,GRIP-AWTF Influent,BPA,81651,LC-MS-MS,<,10.0,ND,10.0,2.9,ng/L,9590,202202161087,987940,2022-03-02,3.813886170254546
30,2020-07-06 09:42:00,570001,GRIP-AWTF Influent,Bromate,A-027,EPA 300.1,<,5.0,ND,5.0,0.77,ug/L,9590,202007060416,879698,2020-07-24,3.0759933074598056
31,2020-07-06 09:42:00,570001,GRIP-AWTF Influent,Bromate by UV/VIS,A-027,EPA 300.1,<,5.0,ND,5.0,0.77,ug/L,9590,202007060416,879698,2020-07-24,3.449378318560165
32,2019-05-02 12:31:00,570001,GRIP-AWTF Influent,Caffeine,81436,LC-MS-MS,<,100.0,ND,100.0,43.0,ng/L,9590,201905020591,802886,2019-05-17,4.593209512728562
